feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,issue_type,resolved,Resolved_bool,satisfaction_bool
fdbk100000,cust106029,14-08-2021,Weight what decision able gun shoulder.,4,fraud,TRUE,1,1
fdbk100001,cust101758,30-03-2025,Case discuss approach leave hair.,3,transaction,FALSE,0,2
fdbk100002,cust107269,24-07-2025,Idea as effect bed need shake.,4,app_usability,FALSE,0,3
fdbk100003,cust108175,07-06-2024,Image design soldier strategy character learn into even agree prepare.,4,app_usability,FALSE,0,3
fdbk100004,cust101420,12-01-2022,Two lose traditional approach commercial throw threat.,3,transaction,TRUE,1,2
fdbk100005,cust102792,17-06-2023,Ground her administration conference huge toward wait someone.,3,other,TRUE,1,4
fdbk100006,cust108392,24-03-2025,Among go board return recent kid.,1,app_usability,TRUE,1,3
fdbk100007,cust106515,30-08-2024,Find white shoulder four let modern owner organization nearly.,4,fraud,TRUE,1,1
fdbk100008,cust106934,05-03-2024,Pattern by more actually improve.,4,fraud,TRUE,1,1
fdbk100009,cust104509,08-06-2022,Accept daughter chair weight fire statement sister.,4,other,TRUE,1,4
fdbk100010,cust103413,07-02-2022,Mouth meet ago chair Mrs not entire weight five father report.,5,other,TRUE,1,4
fdbk100011,cust102938,08-05-2024,Chair above gas west many table.,5,transaction,TRUE,1,2
fdbk100012,cust104370,17-12-2024,Their international customer third fall learn second out happen stock.,2,app_usability,TRUE,1,3
fdbk100013,cust108138,23-06-2024,Program third yeah situation fine necessary buy child yeah purpose.,1,other,TRUE,1,4
fdbk100014,cust106920,21-07-2024,Several concern degree none only use production career tend.,4,other,TRUE,1,4
fdbk100015,cust107630,21-07-2023,Tonight nothing suddenly help care again.,3,app_usability,TRUE,1,3
fdbk100016,cust104475,25-05-2025,Democratic number some ball government state process likely walk successful.,4,app_usability,TRUE,1,3
fdbk100017,cust107037,06-05-2025,Energy in admit behind determine follow.,3,transaction,TRUE,1,2
fdbk100018,cust104895,07-07-2022,Adult baby administration increase eight gun.,2,transaction,FALSE,0,2
fdbk100019,cust106740,25-01-2024,Television likely so mission why experience.,3,other,TRUE,1,4
fdbk100020,cust107069,29-12-2024,Science loss food sort think choose.,4,transaction,TRUE,1,2
fdbk100021,cust108104,06-06-2023,Who career decade month bank.,4,transaction,TRUE,1,2
fdbk100022,cust108359,16-11-2021,Member read some government radio student choose real.,5,transaction,TRUE,1,2
fdbk100023,cust103499,18-04-2025,Present green recently parent room public.,3,transaction,TRUE,1,2
fdbk100024,cust100991,08-05-2024,When local listen officer approach catch.,1,transaction,TRUE,1,2
fdbk100025,cust109418,10-05-2021,Wife every receive threat several.,3,transaction,TRUE,1,2
fdbk100026,cust104133,03-03-2025,Here provide action front thought under already country consider role.,2,transaction,TRUE,1,2
fdbk100027,cust100679,21-05-2025,Activity whatever sea TV argue industry than concern.,1,app_usability,TRUE,1,3
fdbk100028,cust106386,02-08-2025,Ready drop morning half participant bar network stay card body.,3,app_usability,TRUE,1,3
fdbk100029,cust104739,28-09-2024,Mention college course large themselves happen current indicate bank travel start.,1,other,TRUE,1,4
fdbk100030,cust102775,28-03-2023,Within charge girl give look across.,4,other,TRUE,1,4
fdbk100031,cust107446,03-08-2025,Manager tell bag true society many require.,5,fraud,TRUE,1,1
fdbk100032,cust101181,03-08-2025,Series reflect indicate concern at pretty.,1,transaction,TRUE,1,2
fdbk100033,cust101900,02-03-2025,Also sing field doctor scene star sense.,2,other,TRUE,1,4
fdbk100034,cust100322,19-02-2025,Better put about end environmental power individual exist treat.,4,fraud,TRUE,1,1
fdbk100035,cust109114,11-04-2023,Mouth company result across agent.,5,fraud,TRUE,1,1
fdbk100036,cust100395,21-07-2025,Report toward explain although force among.,4,transaction,TRUE,1,2
fdbk100037,cust100068,11-06-2025,Perhaps might move tree country water light about maybe campaign.,4,fraud,FALSE,0,1
fdbk100038,cust101315,08-08-2022,Glass individual issue service case establish popular me all.,5,transaction,TRUE,1,2
fdbk100039,cust103324,30-12-2024,War some why consumer almost health while.,3,transaction,TRUE,1,2
fdbk100040,cust103532,20-08-2024,Spring all thing middle phone than put.,3,fraud,TRUE,1,1
fdbk100041,cust107526,14-08-2024,Share three tell approach here chair student article myself according.,3,other,TRUE,1,4
fdbk100042,cust107828,08-02-2024,Often leg ball machine particularly owner.,4,transaction,TRUE,1,2
fdbk100043,cust103530,15-09-2022,Possible chance role way see blood something.,1,app_usability,TRUE,1,3
fdbk100044,cust104113,24-02-2023,Girl industry authority service might drive room seek.,3,transaction,TRUE,1,2
fdbk100045,cust109294,21-09-2024,Plant cup necessary must customer.,1,transaction,TRUE,1,2
fdbk100046,cust102956,02-07-2025,Institution summer thing order population fire candidate create bed.,4,transaction,TRUE,1,2
fdbk100047,cust109978,02-09-2023,Past suffer check their artist think give certainly offer government.,5,transaction,TRUE,1,2
fdbk100048,cust106344,21-06-2024,Box teach contain wrong modern.,3,app_usability,TRUE,1,3
fdbk100049,cust102999,14-04-2025,Quite range through international pick.,4,app_usability,TRUE,1,3
fdbk100050,cust103556,08-03-2025,Ready believe finish those go.,5,transaction,TRUE,1,2
fdbk100051,cust103862,05-05-2024,Feeling area health government turn.,4,transaction,FALSE,0,2
fdbk100052,cust101805,18-07-2022,Relate send may race successful.,5,transaction,TRUE,1,2
fdbk100053,cust108242,13-09-2024,We forget man issue pull.,3,transaction,TRUE,1,2
fdbk100054,cust101072,07-05-2021,Figure test notice tough eight worry subject since far.,4,other,TRUE,1,4
fdbk100055,cust105454,14-08-2023,When story tell same fight source throughout maybe speech.,4,other,TRUE,1,4
fdbk100056,cust107053,11-03-2025,Sell opportunity step as despite book answer instead choose.,5,transaction,TRUE,1,2
fdbk100057,cust105389,01-10-2021,Pretty exactly number seem specific popular fear movie perhaps.,2,fraud,TRUE,1,1
fdbk100058,cust109723,17-08-2024,Small those chance same probably meet fear indicate.,5,fraud,TRUE,1,1
fdbk100059,cust109860,14-12-2023,Network daughter war hundred growth research.,3,fraud,TRUE,1,1
fdbk100060,cust100364,12-06-2025,Few right relationship imagine forward able attorney action indeed win.,2,fraud,TRUE,1,1
fdbk100061,cust101911,25-12-2021,Notice morning east consumer join scene.,4,other,TRUE,1,4
fdbk100062,cust108382,09-05-2024,Notice forward our social plan the late a treat against.,5,fraud,TRUE,1,1
fdbk100063,cust109435,13-04-2022,Career human how any such.,2,transaction,FALSE,0,2
fdbk100064,cust108771,19-01-2025,Baby network read central tax believe official.,3,app_usability,TRUE,1,3
fdbk100065,cust106762,01-07-2025,Mention area start dog Democrat sort.,2,transaction,TRUE,1,2
fdbk100066,cust106601,04-02-2025,Management address be why decide there reality.,5,app_usability,TRUE,1,3
fdbk100067,cust100038,10-04-2025,Collection month page side because feel parent help join sometimes marriage.,3,app_usability,TRUE,1,3
fdbk100068,cust106307,06-07-2024,Item scene training be offer financial word help second.,1,transaction,TRUE,1,2
fdbk100069,cust104070,19-02-2024,Day out view college beautiful former.,2,app_usability,TRUE,1,3
fdbk100070,cust109701,31-03-2023,Apply agency about quickly sea discuss property.,4,app_usability,TRUE,1,3
fdbk100071,cust104379,21-02-2023,Tend yourself glass thought economic boy ahead own since.,5,app_usability,TRUE,1,3
fdbk100072,cust101758,19-07-2022,West those door enter effort.,4,app_usability,TRUE,1,3
fdbk100073,cust100602,19-07-2023,Source each answer especially decide billion help money when dream.,3,app_usability,TRUE,1,3
fdbk100074,cust103805,31-05-2025,Page final share bag blue government entire fly store.,3,transaction,TRUE,1,2
fdbk100075,cust106854,18-09-2023,Hear reveal child check day else school along market brother.,5,transaction,TRUE,1,2
fdbk100076,cust103442,15-09-2024,Tend reflect kind happy drug.,4,transaction,TRUE,1,2
fdbk100077,cust107198,12-07-2025,Look doctor grow along mouth become allow fire.,5,transaction,TRUE,1,2
fdbk100078,cust104269,12-05-2023,Lot method imagine wish.,5,fraud,TRUE,1,1
fdbk100079,cust108467,14-12-2023,Describe end happen father I purpose line base maybe growth.,4,transaction,TRUE,1,2
fdbk100080,cust109468,05-08-2025,Real program window large economic explain.,5,transaction,FALSE,0,2
fdbk100081,cust105100,29-01-2023,Building firm read business choose too image image.,4,transaction,TRUE,1,2
fdbk100082,cust100219,31-05-2025,Offer administration prepare born something show actually reality.,5,transaction,TRUE,1,2
fdbk100083,cust108185,11-06-2024,Clearly stand us difficult performance brother experience official middle.,3,transaction,TRUE,1,2
fdbk100084,cust102461,02-02-2025,Later their serious less reach.,5,transaction,TRUE,1,2
fdbk100085,cust106766,13-02-2025,Local no new music chair summer television Mr.,1,fraud,TRUE,1,1
fdbk100086,cust108860,28-10-2024,Member majority data theory big write.,5,app_usability,FALSE,0,3
fdbk100087,cust105575,29-07-2025,Over more popular American would to defense family manage best.,5,fraud,TRUE,1,1
fdbk100088,cust107253,18-02-2025,Answer can purpose themselves six.,1,fraud,TRUE,1,1
fdbk100089,cust101709,24-10-2023,During fire gun special.,3,transaction,TRUE,1,2
fdbk100090,cust101364,11-09-2024,Entire big research cause represent walk.,5,transaction,TRUE,1,2
fdbk100091,cust103056,27-04-2025,Whom expect apply other somebody or position above.,5,transaction,TRUE,1,2
fdbk100092,cust109107,21-01-2022,Suffer now still dream lay society seek single read.,4,fraud,TRUE,1,1
fdbk100093,cust100659,21-03-2025,Ready help others social maintain prove.,3,transaction,FALSE,0,2
fdbk100094,cust102356,06-09-2024,Wind add operation over choose wide can film particular.,4,transaction,TRUE,1,2
fdbk100095,cust105370,15-10-2024,Grow common decade night kind hear.,1,other,TRUE,1,4
fdbk100096,cust107876,31-05-2024,Go store police staff likely.,3,transaction,TRUE,1,2
fdbk100097,cust104301,11-04-2025,Sport pass bar yard remain activity.,3,fraud,TRUE,1,1
fdbk100098,cust105700,13-05-2025,Image meeting institution friend bar value.,2,transaction,TRUE,1,2
fdbk100099,cust101338,14-04-2024,Wear seven set war total per.,5,other,TRUE,1,4
fdbk100100,cust102834,21-08-2024,Either move term want pay personal.,3,app_usability,TRUE,1,3
fdbk100101,cust100159,14-02-2025,Maybe standard certainly country poor until environmental young road.,2,transaction,TRUE,1,2
fdbk100102,cust107713,24-12-2021,Every mention now against respond market according want discover music.,4,transaction,TRUE,1,2
fdbk100103,cust100549,13-06-2025,Agent direction husband size second paper relate daughter.,5,app_usability,TRUE,1,3
fdbk100104,cust103615,11-05-2025,To food wear edge picture suggest.,3,transaction,TRUE,1,2
fdbk100105,cust102235,09-07-2021,Meeting window fact agency nature discuss.,3,app_usability,FALSE,0,3
fdbk100106,cust103896,09-06-2024,East practice light play else color sit.,3,fraud,TRUE,1,1
fdbk100107,cust106898,22-05-2025,Behavior series recently long they least benefit.,4,transaction,TRUE,1,2
fdbk100108,cust103678,18-02-2025,Force group consumer college though popular form lead.,4,app_usability,TRUE,1,3
fdbk100109,cust100268,16-03-2025,Rather sell enter south mission social mention still among bill possible.,3,transaction,TRUE,1,2
fdbk100110,cust105750,29-08-2023,Watch analysis performance base blood national lawyer though administration.,5,other,TRUE,1,4
fdbk100111,cust105257,28-06-2025,List mind world she blue not theory TV treatment.,5,transaction,TRUE,1,2
fdbk100112,cust104466,26-08-2021,Black expect modern remember quite consider.,3,fraud,TRUE,1,1
fdbk100113,cust102401,28-09-2023,Serious behind travel common development.,4,transaction,TRUE,1,2
fdbk100114,cust105798,31-03-2025,Finish sea necessary seek summer any computer early still teacher five.,5,transaction,TRUE,1,2
fdbk100115,cust107640,15-08-2024,Call physical happy star.,4,other,TRUE,1,4
fdbk100116,cust104476,21-05-2025,Specific seem season around employee themselves throw someone record ready.,4,transaction,TRUE,1,2
fdbk100117,cust106372,04-03-2023,Moment service whole likely ten government trip campaign first.,5,fraud,TRUE,1,1
fdbk100118,cust101705,16-10-2024,Behavior think positive minute tell yes her American soldier industry.,1,app_usability,TRUE,1,3
fdbk100119,cust103777,09-02-2025,You hair they event great official put.,5,transaction,TRUE,1,2
fdbk100120,cust107633,19-04-2024,Room with close top seek interest require camera matter.,2,transaction,TRUE,1,2
fdbk100121,cust102554,22-08-2024,Step future attack computer behind care Republican sense member.,5,fraud,TRUE,1,1
fdbk100122,cust107136,03-10-2022,Why tax discuss lot up so ok rock matter.,2,app_usability,TRUE,1,3
fdbk100123,cust100796,18-02-2025,Address campaign hand huge town question front.,1,transaction,TRUE,1,2
fdbk100124,cust103654,03-08-2024,Board might report cover president necessary long take message effort last.,2,transaction,FALSE,0,2
fdbk100125,cust103713,25-07-2025,Today section push growth stock employee shake sign common ball.,3,transaction,TRUE,1,2
fdbk100126,cust104890,12-04-2025,Lead full interest his allow almost.,5,fraud,TRUE,1,1
fdbk100127,cust101182,10-07-2024,Order sport boy huge item simple key.,2,app_usability,FALSE,0,3
fdbk100128,cust104426,09-03-2025,Must teach garden structure cold light among them paper.,5,app_usability,FALSE,0,3
fdbk100129,cust107399,05-07-2025,Kind every fill discussion choose truth.,1,fraud,TRUE,1,1
fdbk100130,cust103518,01-08-2025,Group door bad discover successful manager.,4,transaction,FALSE,0,2
fdbk100131,cust104616,23-11-2024,Future economic impact tough business give hard hot rate feeling.,5,app_usability,TRUE,1,3
fdbk100132,cust105808,22-01-2024,Approach range break expect deep daughter.,4,transaction,TRUE,1,2
fdbk100133,cust100256,13-04-2024,South security person wrong early.,4,app_usability,TRUE,1,3
fdbk100134,cust105355,06-04-2025,Recognize agent might whole kid unit itself friend phone.,3,fraud,TRUE,1,1
fdbk100135,cust108822,13-10-2024,Often never myself see plant themselves.,2,transaction,TRUE,1,2
fdbk100136,cust106812,24-08-2024,Nothing join enter notice discuss prevent rest.,5,other,TRUE,1,4
fdbk100137,cust107406,14-05-2024,Agreement offer herself opportunity challenge.,4,fraud,TRUE,1,1
fdbk100138,cust100734,18-06-2024,Maybe woman bit model indeed degree conference leg hundred.,5,transaction,TRUE,1,2
fdbk100139,cust106102,17-07-2021,Figure tax probably admit argue off heavy catch when maybe.,5,transaction,TRUE,1,2
fdbk100140,cust108488,03-12-2023,Shake prepare make agent many sister.,4,other,TRUE,1,4
fdbk100141,cust101388,10-07-2025,Leg of your camera rather move short.,5,app_usability,TRUE,1,3
fdbk100142,cust103298,29-10-2024,Bad director road employee paper at.,5,app_usability,TRUE,1,3
fdbk100143,cust106490,17-10-2022,Young lot option later will author series recognize.,2,app_usability,TRUE,1,3
fdbk100144,cust103485,14-09-2024,Anything summer choice both something.,5,other,TRUE,1,4
fdbk100145,cust100386,10-07-2022,Class almost set history care policy.,3,transaction,TRUE,1,2
fdbk100146,cust101360,12-02-2024,Page free sing thus represent entire.,3,other,FALSE,0,4
fdbk100147,cust100265,27-05-2022,Least provide mouth Mrs.,5,transaction,FALSE,0,2
fdbk100148,cust104969,07-02-2024,Land management threat population water.,1,transaction,TRUE,1,2
fdbk100149,cust103871,31-07-2024,Subject evidence deep every green staff wall exist life.,4,transaction,TRUE,1,2
fdbk100150,cust106254,22-03-2025,Argue brother though question table candidate.,4,other,TRUE,1,4
fdbk100151,cust104898,03-02-2024,Start history open ok your choose provide speech pretty check.,1,app_usability,TRUE,1,3
fdbk100152,cust105760,29-01-2024,Special fund nor piece management.,3,transaction,TRUE,1,2
fdbk100153,cust106672,02-09-2022,Activity business company think type.,4,transaction,TRUE,1,2
fdbk100154,cust101738,12-12-2024,Would future treat human PM play several chair everyone minute.,4,other,FALSE,0,4
fdbk100155,cust104651,28-12-2022,Pass music these say term hard prevent cover group perhaps business.,4,app_usability,TRUE,1,3
fdbk100156,cust100990,08-05-2023,Dark focus charge middle car light boy into.,2,transaction,TRUE,1,2
fdbk100157,cust107241,01-01-2024,Feeling generation speak security kitchen population office gas unit south.,4,other,TRUE,1,4
fdbk100158,cust104172,25-02-2024,Own here of throw list program us poor development to.,5,transaction,TRUE,1,2
fdbk100159,cust103245,13-06-2025,House use be and measure.,4,transaction,TRUE,1,2
fdbk100160,cust109351,28-01-2024,Population half go early movie evening whole culture account reflect.,5,app_usability,FALSE,0,3
fdbk100161,cust100741,23-07-2024,Customer character us month send west well administration special.,2,transaction,FALSE,0,2
fdbk100162,cust103968,26-03-2025,Enough card pick board mother number old experience.,5,transaction,TRUE,1,2
fdbk100163,cust108497,04-01-2025,Draw if same major leg.,2,app_usability,TRUE,1,3
fdbk100164,cust100097,24-06-2025,Especially statement career especially change for focus.,1,transaction,TRUE,1,2
fdbk100165,cust108853,16-03-2024,Can figure fish bar type difference traditional power.,2,transaction,FALSE,0,2
fdbk100166,cust109595,19-04-2022,Time speak likely arrive factor.,4,app_usability,TRUE,1,3
fdbk100167,cust103207,16-12-2023,Edge night let cost can campaign in perform ready.,5,other,TRUE,1,4
fdbk100168,cust101253,16-03-2025,Pretty no cold real arm born show everyone fill with.,3,transaction,FALSE,0,2
fdbk100169,cust104933,05-06-2025,Compare into fly that letter southern with standard.,5,transaction,TRUE,1,2
fdbk100170,cust103400,08-10-2022,Miss Mr seem red stop born management our in.,1,app_usability,TRUE,1,3
fdbk100171,cust103176,07-09-2022,Food hand war enjoy stuff force avoid speech avoid head.,5,app_usability,TRUE,1,3
fdbk100172,cust104964,26-05-2025,Performance information push outside director foot produce draw high.,2,other,TRUE,1,4
fdbk100173,cust101838,16-06-2023,Star ago price it move way series.,4,transaction,TRUE,1,2
fdbk100174,cust101241,07-04-2021,Total event evidence poor game both usually resource rest trade.,3,transaction,TRUE,1,2
fdbk100175,cust100581,16-07-2024,Citizen force free beautiful increase example eye who seven.,3,app_usability,TRUE,1,3
fdbk100176,cust103644,14-07-2025,Where difference avoid travel political.,4,transaction,TRUE,1,2
fdbk100177,cust106107,07-07-2025,Hair force new around do daughter join.,2,transaction,TRUE,1,2
fdbk100178,cust101078,27-06-2023,Theory gas identify not.,2,transaction,TRUE,1,2
fdbk100179,cust103127,01-01-2024,Much executive although common save almost certain.,4,fraud,TRUE,1,1
fdbk100180,cust107743,17-12-2024,Design forward plant tree particular smile seem sister get add.,4,transaction,FALSE,0,2
fdbk100181,cust109114,01-12-2023,Relationship allow hospital send who onto about wonder operation benefit.,5,app_usability,TRUE,1,3
fdbk100182,cust107148,15-05-2024,Hit where their personal front evidence window career.,5,transaction,TRUE,1,2
fdbk100183,cust109397,01-08-2022,Real relationship she moment whatever program tree affect.,4,app_usability,TRUE,1,3
