device_id,customer_id,device_type,app_version,is_rooted,last_active,last_active_date_only,last_active_time_only,device_os
dev100000,cust100000,android smart phone,2.5.4,FALSE,19-10-2024 01:24,19-10-2024,01:24:58,android
dev100001,cust100001,feature_phone,2.6.18,FALSE,16-07-2025 01:53,16-07-2025,01:53:09,feature_phone
dev100002,cust100002,android smart phone,2.5.0,FALSE,25-04-2024 05:09,25-04-2024,05:09:53,android
dev100003,cust100003,android smart phone,2.4.12,FALSE,24-04-2021 19:10,24-04-2021,19:10:52,android
dev100004,cust100004,feature_phone,4.2.0,FALSE,15-09-2024 01:18,15-09-2024,01:18:05,feature_phone
dev100005,cust100005,tablet,3.9.11,FALSE,20-07-2023 07:06,20-07-2023,07:06:34,tablet
dev100006,cust100006,feature_phone,4.1.16,FALSE,31-03-2025 06:18,31-03-2025,06:18:02,feature_phone
dev100007,cust100007,android smart phone,3.0.19,FALSE,01-10-2022 13:08,01-10-2022,13:08:00,android
dev100008,cust100008,apple smart phone,4.8.7,FALSE,01-03-2022 06:08,01-03-2022,06:08:32,ios
dev100009,cust100009,android smart phone,4.6.14,FALSE,14-05-2024 07:41,14-05-2024,07:41:05,android
dev100010,cust100010,android smart phone,3.8.2,TRUE,22-12-2024 23:21,22-12-2024,23:21:35,android
dev100011,cust100011,apple smart phone,3.5.0,FALSE,01-09-2023 11:50,01-09-2023,11:50:07,ios
dev100012,cust100012,feature_phone,1.8.0,FALSE,29-04-2024 21:57,29-04-2024,21:57:53,feature_phone
dev100013,cust100013,tablet,2.4.5,FALSE,24-11-2024 10:47,24-11-2024,10:47:28,tablet
dev100014,cust100014,tablet,2.0.15,FALSE,21-01-2025 01:37,21-01-2025,01:37:04,tablet
dev100015,cust100015,feature_phone,1.9.1,FALSE,12-05-2022 04:42,12-05-2022,04:42:27,feature_phone
dev100016,cust100016,feature_phone,3.1.8,FALSE,10-01-2025 20:11,10-01-2025,20:11:11,feature_phone
dev100017,cust100017,android smart phone,1.2.10,FALSE,05-06-2025 03:35,05-06-2025,03:35:35,android
dev100018,cust100018,apple smart phone,4.6.19,FALSE,25-07-2024 06:13,25-07-2024,06:13:34,ios
dev100019,cust100019,tablet,1.1.0,FALSE,29-02-2024 22:41,29-02-2024,22:41:40,tablet
dev100020,cust100020,apple smart phone,3.9.10,FALSE,15-05-2025 22:42,15-05-2025,22:42:30,ios
dev100021,cust100021,apple smart phone,4.4.10,FALSE,19-07-2025 00:15,19-07-2025,00:15:18,ios
dev100022,cust100022,apple smart phone,1.2.6,FALSE,29-10-2024 07:17,29-10-2024,07:17:56,ios
dev100023,cust100023,apple smart phone,3.7.0,FALSE,23-08-2022 08:56,23-08-2022,08:56:57,ios
dev100024,cust100024,android smart phone,3.3.11,FALSE,17-06-2025 21:58,17-06-2025,21:58:22,android
dev100025,cust100025,feature_phone,4.6.13,FALSE,09-07-2024 17:15,09-07-2024,17:15:00,feature_phone
dev100026,cust100026,android smart phone,2.5.16,FALSE,20-04-2022 06:14,20-04-2022,06:14:55,android
dev100027,cust100027,tablet,1.3.15,FALSE,15-06-2025 18:23,15-06-2025,18:23:14,tablet
dev100028,cust100028,apple smart phone,1.5.3,FALSE,21-03-2024 13:09,21-03-2024,13:09:22,ios
dev100029,cust100029,apple smart phone,3.8.10,FALSE,18-06-2025 06:58,18-06-2025,06:58:21,ios
dev100030,cust100030,feature_phone,3.1.16,FALSE,16-04-2025 13:44,16-04-2025,13:44:47,feature_phone
dev100031,cust100031,android smart phone,3.7.0,FALSE,10-08-2024 20:35,10-08-2024,20:35:34,android
dev100032,cust100032,apple smart phone,1.6.5,FALSE,19-02-2025 10:10,19-02-2025,10:10:15,ios
dev100033,cust100033,android smart phone,3.7.3,FALSE,05-02-2024 20:07,05-02-2024,20:07:24,android
dev100034,cust100034,feature_phone,1.4.9,FALSE,26-10-2024 07:57,26-10-2024,07:57:42,feature_phone
dev100035,cust100035,apple smart phone,1.7.7,FALSE,08-08-2021 20:13,08-08-2021,20:13:55,ios
dev100036,cust100036,apple smart phone,4.3.6,FALSE,25-07-2024 22:26,25-07-2024,22:26:08,ios
dev100037,cust100037,android smart phone,4.2.17,FALSE,04-01-2025 04:08,04-01-2025,04:08:09,android
dev100038,cust100038,apple smart phone,1.2.3,FALSE,08-06-2025 07:56,08-06-2025,07:56:44,ios
dev100039,cust100039,feature_phone,3.8.3,FALSE,20-12-2023 08:35,20-12-2023,08:35:40,feature_phone
