alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks,resolution_time,resolution_date_corrected
alert134117,txn10034117,frequent_failure,03-08-2025,FALSE,,Strategy forward the risk necessary company ready.,00:00:00,00-Jan-1900
alert183925,txn10083925,frequent_failure,09-10-2024,TRUE,11-10-2024 02:41,Art do federal short.,02:41:15,11-Oct-2024
alert163439,txn10063439,unusual_time,23-02-2025,TRUE,24-02-2025 10:23,Age board fine participant join.,10:23:56,24-Feb-2025
alert164967,txn10064967,frequent_failure,08-07-2025,TRUE,09-07-2025 19:50,Among doctor much physical interest catch.,19:50:17,09-Jul-2025
alert159661,txn10059661,frequent_failure,02-08-2025,TRUE,05-08-2025 07:59,Would catch themselves be represent why decade.,07:59:36,05-Aug-2025
alert180006,txn10080006,unusual_amount,05-03-2025,TRUE,06-03-2025 20:01,Democrat class ago such story cold environmental tax.,20:01:59,06-Mar-2025
alert130778,txn10030778,unusual_amount,03-08-2025,TRUE,06-08-2025 08:06,Anyone onto style science then Republican black myself.,08:06:42,06-Aug-2025
alert122322,txn10022322,unusual_amount,18-12-2021,TRUE,19-12-2021 18:00,Write anyone capital national.,18:00:55,19-Dec-2021
alert155954,txn10055954,unusual_amount,08-06-2025,FALSE,,Realize mention grow several season husband their.,00:00:00,00-Jan-1900
alert140444,txn10040444,suspicious_login,09-07-2025,FALSE,,Everybody team effect purpose series imagine name.,00:00:00,00-Jan-1900
alert173510,txn10073510,suspicious_login,19-07-2025,TRUE,19-07-2025 23:07,Price front summer score artist defense.,23:07:30,19-Jul-2025
alert172416,txn10072416,unusual_time,20-11-2023,TRUE,22-11-2023 17:16,Score may reality compare almost impact college address.,17:16:20,22-Nov-2023
alert182690,txn10082690,unusual_time,17-05-2024,TRUE,18-05-2024 03:04,Attention final model ability simple response stock.,03:04:18,18-May-2024
alert156982,txn10056982,frequent_failure,09-06-2024,TRUE,11-06-2024 13:28,Break report fear for officer.,13:28:13,11-Jun-2024
alert121922,txn10021922,unusual_time,15-07-2025,TRUE,15-07-2025 12:36,Century class enjoy.,12:36:47,15-Jul-2025
alert190191,txn10090191,suspicious_login,18-06-2025,TRUE,19-06-2025 07:10,Represent happen child allow nice member along.,07:10:07,19-Jun-2025
alert132693,txn10032693,suspicious_login,05-08-2025,TRUE,05-08-2025 18:21,Believe western head democratic mission she daughter.,18:21:06,05-Aug-2025
alert162262,txn10062262,unusual_time,30-07-2025,TRUE,02-08-2025 04:00,Pay true for contain.,04:00:02,02-Aug-2025
alert143058,txn10043058,suspicious_login,05-08-2025,FALSE,,Official billion sign prepare them while stop.,00:00:00,00-Jan-1900
alert172962,txn10072962,frequent_failure,23-05-2024,FALSE,,I computer mention lay area under its.,00:00:00,00-Jan-1900
alert111288,txn10011288,frequent_failure,19-07-2025,FALSE,,Including have accept until.,00:00:00,00-Jan-1900
alert190757,txn10090757,frequent_failure,02-05-2024,TRUE,02-05-2024 11:13,Specific case his increase lose.,11:13:55,02-May-2024
alert195992,txn10095992,suspicious_login,29-07-2025,TRUE,01-08-2025 13:44,Source detail never figure interesting information.,13:44:16,01-Aug-2025
alert144016,txn10044016,unusual_time,15-04-2024,FALSE,,Benefit respond head.,00:00:00,00-Jan-1900
alert131558,txn10031558,unusual_time,06-03-2025,TRUE,08-03-2025 23:16,Sometimes maybe just return.,23:16:56,08-Mar-2025
alert118287,txn10018287,unusual_time,13-07-2025,TRUE,16-07-2025 04:10,Us argue left east partner money.,04:10:46,16-Jul-2025
alert197713,txn10097713,suspicious_login,25-05-2025,TRUE,26-05-2025 04:29,Several ok scientist meeting.,04:29:57,26-May-2025
alert117919,txn10017919,suspicious_login,03-08-2025,TRUE,03-08-2025 18:58,Society level house him nice money catch whose.,18:58:56,03-Aug-2025
alert128056,txn10028056,unusual_time,19-06-2024,TRUE,20-06-2024 03:18,Return hundred official up education participant always speak.,03:18:44,20-Jun-2024
alert113524,txn10013524,suspicious_login,07-06-2025,TRUE,09-06-2025 17:55,Type sound special.,17:55:47,09-Jun-2025
alert198754,txn10098754,suspicious_login,06-07-2023,FALSE,,Benefit student country how feel simply lot.,00:00:00,00-Jan-1900
alert143678,txn10043678,frequent_failure,18-06-2025,TRUE,19-06-2025 07:50,Pick own ten sign bag.,07:50:06,19-Jun-2025
alert182558,txn10082558,suspicious_login,16-09-2024,TRUE,19-09-2024 13:34,Least parent upon fire soldier sense.,13:34:42,19-Sep-2024
alert136474,txn10036474,unusual_amount,17-10-2024,TRUE,20-10-2024 02:52,Product boy hospital with.,02:52:07,20-Oct-2024
alert128807,txn10028807,unusual_time,06-08-2025,TRUE,06-08-2025 08:06,Keep door set across watch.,08:06:42,06-Aug-2025
alert136007,txn10036007,frequent_failure,02-08-2025,TRUE,04-08-2025 16:28,Other half place small although they.,16:28:57,04-Aug-2025
